date,account,category,amount,currency,converted amount,currency,description
16/09/2021,Nequi,Casa,"-7,997.28",COP,"-7,997.28",COP,Ajuste nequi disponible
16/09/2021,Tarjeta crédito rappi,Depósitos,"98,528.59",COP,"98,528.59",COP,Ajuste tarjeta rappi
16/09/2021,Efectivo,Casa,"-7,800",COP,"-7,800",COP,Ajuste efectivo
16/09/2021,Bancolombia,Salud,"-100,000",COP,"-100,000",COP,Préstamo 100 mil a Daniel para medicamento
16/09/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-181,900",COP,"-181,900",COP,Pago tarjeta crédito
16/09/2021,Bancolombia,To 'Renta sostenible global',"-101,905.94",COP,"-101,905.94",COP,Ajuste sostenible global
16/09/2021,Bancolombia,To 'Renta alta convicción',"-101,028.19",COP,"-101,028.19",COP,Ajuste alta convicción
16/09/2021,Bancolombia,To 'Tyba comprar vivienda',-707,COP,-707,COP,Ajuste tyba compra vivienda
16/09/2021,Bancolombia,To 'Tyba portafolio 8',"-45,422",COP,"-45,422",COP,Ajuste tyba portafolio 8
17/09/2021,Fiducuenta,Facturas,"-1,239.09",COP,"-1,239.09",COP,Bajó inversión
17/09/2021,Bancolombia,Regalos,"-52,000",COP,"-52,000",COP,Regalos amor y amistad
17/09/2021,Bancolombia,Regalos,"-10,000",COP,"-10,000",COP,Flores amor y amistad
18/09/2021,Bancolombia,Regalos,"-120,000",COP,"-120,000",COP,Ramos amor y amistad mamá y Mónica
18/09/2021,Bancolombia,Restaurante,"-17,600",COP,"-17,600",COP,Helado rikiwi
18/09/2021,Tarjeta crédito rappi,Salud,"-105,275",COP,"-105,275",COP,Medicamentos línea estética leidy
18/09/2021,Efectivo,Restaurante,"-50,000",COP,"-50,000",COP,Comida mercados del norte
18/09/2021,Tarjeta crédito rappi,Transporte,"-15,900",COP,"-15,900",COP,Uber a casa leidy
18/09/2021,Bancolombia,Depósitos,"200,000",COP,"200,000",COP,Transferencia de leidy
18/09/2021,Bancolombia,To 'Tarjeta crédito rappi',"-127,865",COP,"-127,865",COP,Pago tarjeta crédito
18/09/2021,Tarjeta crédito rappi,From 'Bancolombia',"127,865",COP,"127,865",COP,Pago tarjeta crédito
20/09/2021,Fiducuenta,Ahorros,"1,083.99",COP,"1,083.99",COP,Subió inversión
21/09/2021,Bancolombia,Depósitos,"63,041",COP,"63,041",COP,Saldo a favor tarjeta de crédito
21/09/2021,Fiducuenta,Facturas,"-19,045.64",COP,"-19,045.64",COP,Bajó inversión
21/09/2021,Bancolombia,Mascotas,"-63,000",COP,"-63,000",COP,Vacunas Sam
21/09/2021,Bancolombia,To 'Tarjeta de crédito mastercard',"-221,203",COP,"-221,203",COP,Pago tarjeta crédito
22/09/2021,Fiducuenta,Facturas,"-1,243.01",COP,"-1,243.01",COP,Bajó inversión
23/09/2021,Fiducuenta,Ahorros,"7,318.15",COP,"7,318.15",COP,Subió inversión
24/09/2021,Fiducuenta,Facturas,"-32,628.8",COP,"-32,628.8",COP,Bajó inversión
25/09/2021,Efectivo,Restaurante,"-23,000",COP,"-23,000",COP,Salchipapas y gaseosa con Daniel
